CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CASBC|BSBC|AIQ|20130303085357|SBC-24|||//3/27/2013 1:00:20 AM
CAD_U|CASBC|BSBC|AIQ|20130303085357|SBC-24|||//3/27/2013 1:00:20 AM
CAD_U|CASLO|BSLO|AIQ|20130304171237|A-16D|||//3/27/2013 1:00:21 AM
CAD_U|CASLO|BSLO|AIQ|20130325115558|A-16D|||//3/27/2013 1:00:21 AM
CAD_U|CASMR|BSSMR1|AIQ|20121210095811|SMR-1||OUT|//3/27/2013 1:00:22 AM
CAD_U|CASMR|BSSMR1|AIQ|20121210095811|SMR-1||OUT|//3/27/2013 1:00:22 AM
CAD_U|CASBC|C308|AIQ|20121112134807|SYHB|||//3/27/2013 1:00:23 AM
CAD_U|CASBC|C308|AIQ|20121112134807|SYHB|||//3/27/2013 1:00:23 AM
CAD_U|CASBC|C309|AIQ|20120510195034|SYHB|||//3/27/2013 1:00:24 AM
CAD_U|CASBC|C309|AIQ|20120510195034|SYHB|||//3/27/2013 1:00:24 AM
CAD_U|CACHP|C40|AIQ|20090919024322|FAAB|||//3/27/2013 1:00:25 AM
CAD_U|CACHP|C40|AIQ|20090919024322|FAAB|||//3/27/2013 1:00:25 AM
CAD_U|CACDF|C406|AIQ|20130306071305|BVHB|||//3/27/2013 1:00:26 AM
CAD_U|CACDF|C406|AIQ|20130306071305|BVHB|||//3/27/2013 1:00:26 AM
CAD_U|CACHP|C70|AIQ|20130325202103|R-8C|||//3/27/2013 1:00:27 AM
CAD_U|CACHP|C70|AIQ|20130303105255|R-8C|||//3/27/2013 1:00:27 AM
CAD_U|CASLU|CAM21|AIQ|20130325073017|VNT|||//3/27/2013 1:00:28 AM
CAD_U|CASLU|CAM21|AIQ|20130325073017|VNT|||//3/27/2013 1:00:28 AM
CAD_U|CASLU|CAM22|AIQ|20130319160527|VNT|||//3/27/2013 1:00:29 AM
CAD_U|CASLU|CAM22|AIQ|20130319160527|VNT|||//3/27/2013 1:00:29 AM
CAD_U|CASLU|CAM23|AIQ|20130324074025|VNT|||//3/27/2013 1:00:30 AM
CAD_U|CASLU|CAM23|AIQ|20130324074025|VNT|||//3/27/2013 1:00:31 AM
CAD_U|CAATS|CATS|AIQ|20120825132349|T-13C|||//3/27/2013 1:00:31 AM
CAD_U|CAATS|CATS|AIQ|20120825132349|T-13C|||//3/27/2013 1:00:32 AM
CAD_U|CAAYG|CAYG|AIQ|20121017122252|E-7G|||//3/27/2013 1:00:32 AM
